timestamp,mfrid,prodid,sensorid,flags,switch,voltage,freq,reactive,real,apparent,current,temperature
1552851329.72,4,2,10404,11111000,1,240,49.8984375,0,58,None,None,None
1552851332.72,4,2,9611,11111000,1,242,49.8515625,0,27,None,None,None
1552851335.72,4,2,7344,11111000,1,242,49.8515625,-8,5,None,None,None
1552851339.45,4,2,10404,11111000,1,240,49.8984375,0,58,None,None,None
1552851341.73,4,2,9611,11111000,1,242,49.8515625,0,28,None,None,None
1552851345.58,4,2,7344,11111000,1,242,49.8515625,-7,4,None,None,None
1552851350.74,4,2,10404,11111000,1,239,49.8984375,0,56,None,None,None
1552851356.74,4,2,7344,11111000,1,242,49.80078125,-7,6,None,None,None
1552851359.75,4,2,10404,11111000,1,240,49.8984375,0,56,None,None,None
1552851360.62,4,2,9611,11111000,1,242,49.8515625,0,26,None,None,None
1552851365.75,4,2,7344,11111000,1,242,49.8515625,-7,5,None,None,None
1552851369.39,4,2,10404,11111000,1,240,49.8984375,0,58,None,None,None
1552851371.76,4,2,9611,11111000,1,242,49.80078125,0,28,None,None,None
1552851375.48,4,2,7344,11111000,1,242,49.80078125,-7,4,None,None,None
1552851380.77,4,2,10404,11111000,1,240,49.94921875,0,58,None,None,None
1552851386.77,4,2,7344,11111000,1,242,49.8515625,-7,3,None,None,None
1552851389.78,4,2,10404,11111000,1,240,49.8984375,0,58,None,None,None
1552851390.53,4,2,9611,11111000,1,242,49.8515625,0,27,None,None,None
1552851395.78,4,2,7344,11111000,1,243,49.8515625,-6,4,None,None,None
1552851399.34,4,2,10404,11111000,1,240,49.8984375,2,57,None,None,None
1552851401.79,4,2,9611,11111000,1,242,49.8984375,0,27,None,None,None
1552851405.38,4,2,7344,11111000,1,243,49.80078125,-7,5,None,None,None
1552851410.8,4,2,10404,11111000,1,240,49.8984375,0,58,None,None,None
1552851416.8,4,2,7344,11111000,1,243,49.8515625,-8,5,None,None,None
1552851419.81,4,2,10404,11111000,1,241,49.8984375,0,56,None,None,None
1552851420.44,4,2,9611,11111000,1,242,49.8515625,0,27,None,None,None
1552851425.81,4,2,7344,11111000,1,243,49.80078125,-8,4,None,None,None
1552851429.29,4,2,10404,11111000,1,240,49.94921875,0,58,None,None,None
1552851431.82,4,2,9611,11111000,1,242,49.8984375,0,27,None,None,None
1552851435.28,4,2,7344,11111000,1,243,49.8515625,-8,4,None,None,None
1552851440.83,4,2,10404,11111000,1,240,49.94921875,0,57,None,None,None
1552851446.83,4,2,7344,11111000,1,243,49.8984375,-8,4,None,None,None
1552851449.84,4,2,10404,11111000,1,240,49.8984375,0,58,None,None,None
1552851450.36,4,2,9611,11111000,1,242,49.8984375,0,26,None,None,None
